"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"143","Upl Limited","UPL","P&F | F.A","-0.49%","636.45","2,32,936"
"108","Aurobindo Pharma Limited","AUROPHARMA","P&F | F.A","-0.5%","1165","4,25,089"
"110","TATA Consumer Products Ltd","TATACONSUM","P&F | F.A","-0.5%","1109.5","2,20,550"
"8","Dixon Technologies","DIXON","P&F | F.A","-0.55%","14900","68,346"
"134","Adani Total Gas Ltd","ATGL","P&F | F.A","-0.55%","709.2","4,90,294"
"73","Coforge (Niit Tech)","COFORGE","P&F | F.A","-0.57%","1820","6,32,934"
"99","KPIT Technologies Ltd","KPITTECH","P&F | F.A","-0.57%","1361.9","1,67,880"
"178","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","-0.6%","299.25","20,34,764"
"46","Tube Investments of India Ltd","TIINDIA","P&F | F.A","-0.66%","3068.4","79,217"
"156","Varun Beverages Limited","VBL","P&F | F.A","-0.66%","473.1","24,24,293"
"102","Cyient Limited","CYIENT","P&F | F.A","-0.67%","1340","1,25,404"
"187","Bank Of Baroda","BANKBARODA","P&F | F.A","-0.67%","245.28","52,79,303"
"47","Pidilite Industries Limited","PIDILITIND","P&F | F.A","-0.68%","3058.5","58,232"
"90","Info Edge (india) Limited","NAUKRI","P&F | F.A","-0.7%","1524.1","2,29,739"
"213","Punjab National Bank","PNB","P&F | F.A","-0.72%","110.97","92,62,575"
"177","Jio Financial Services Ltd","JIOFIN","P&F | F.A","-0.73%","300.6","51,54,720"
"45","Srf Limited","SRF","P&F | F.A","-0.74%","3069","1,59,222"
"136","Shriram Finance Ltd","SHRIRAMFIN","P&F | F.A","-0.78%","694.95","14,64,375"
"41","Siemens Limited","SIEMENS","P&F | F.A","-0.81%","3344.3","1,28,176"
"198","L&T Finance Ltd","LTF","P&F | F.A","-0.81%","193.2","38,66,945"
"138","CG Power and Industrial Solutions Ltd","CGPOWER","P&F | F.A","-0.82%","684.9","4,66,527"
"182","Bharat Heavy Electricals Limited","BHEL","P&F | F.A","-0.84%","258.35","24,31,661"
"31","Supreme Industries Limited","SUPREMEIND","P&F | F.A","-0.86%","4368.5","36,120"
"65","ICICI Lombard General Insurance Company Ltd","ICICIGI","P&F | F.A","-0.87%","1960.5","1,41,661"
